date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2021-06-28,34487.11,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-06-29,35901.41,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-06-30,35056.39,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-01,33543.11,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-02,33804.54,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-03,34682.84,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-04,35287.97,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-05,33702.79,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-06,34237.66,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,1,False,13711.43128605471,-27.077735155162376
2021-07-07,33880.79,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,1,False,13711.43128605471,-27.077735155162376
2021-07-08,32874.01,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,1,False,13711.43128605471,-27.077735155162376
2021-07-09,33804.2,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,1,False,13711.43128605471,-27.077735155162376
2021-07-10,33515.13,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,1,False,13711.43128605471,-27.077735155162376
2021-07-11,34249.3,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-12,33088.51,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-13,32737.47,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
2021-07-14,32820.5,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-15,31867.46,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-16,31401.76,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-17,31546.64,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-18,31806.3,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-19,30847.55,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-20,29795.55,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-21,32139.48,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-22,32299.47,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
2021-07-23,33637.92,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,0,False,13711.43128605471,-27.077735155162376
